,Rank,Player,Country,Goals,Caps,Ratio
175,166,Sabelo Ndzinisa,Eswatini,15,61,0.25
176,166,Héldon Ramos,Cape Verde,15,52,0.29
177,166,Paulin Voavy,Madagascar,15,67,0.22
178,170,Rangelo Janga,Curaçao,14,34,0.41
179,170,Leandro Bacuna,Curaçao,14,50,0.28
180,170,Philip Zialor,Seychelles,14,33,0.42
181,170,Stefano Rijssel,Suriname,14,36,0.39
182,170,Fahed Attal,Palestine,14,40,0.35
183,170,Ashraf Nu'man,Palestine,14,56,0.25
184,170,Ezechiel N'Douassel,Chad,14,47,0.3
185,170,Gurban Gurbanov,Azerbaijan,14,68,0.21
186,176,Reggie Davani,Papua New Guinea,13,17,0.76
187,176,Raymond Gunemba [f],Papua New Guinea,13,28,0.46
188,176,Nirajan Rayamajhi,Nepal,13,20,0.65
189,176,Hari Khadka,Nepal,13,41,0.32
190,176,Assan Ceesay,Gambia,13,36,0.36
191,176,Lesly St. Fleur,Bahamas,13,36,0.36
192,176,Bessam,Mauritania,13,66,0.2
193,176,Ruslan Baltiev,Kazakhstan,13,73,0.18
194,182,Lee Ramoon [g][d],Cayman Islands,12,17,0.71
195,182,Ion Nicolaescu,Moldova,12,37,0.32
196,182,Chencho Gyeltshen,Bhutan,12,42,0.29
197,182,Jane Thabantso,Lesotho,12,77,0.16
198,186,Louis Mafouta,Central African Republic,11,21,0.52
199,186,Muhammad Essa,Pakistan,11,37,0.3
200,186,Ildefons Lima,Andorra,11,137,0.08
201,189,Lyle Taylor,Montserrat,10,14,0.71
202,189,Luís Leal,São Tomé and Príncipe,10,25,0.4
203,189,Rógvi Jacobsen,Faroe Islands,10,54,0.19
204,189,Klæmint Olsen,Faroe Islands,10,57,0.18
205,189,Faysal Shayesteh,Afghanistan,10,55,0.18
206,193,Nando Có,Guinea-Bissau,9,6,1.5
207,193,Desmond Fa'aiuaso,Samoa,9,20,0.45
208,195,Shahrazen Said,Brunei,8,22,0.36
209,195,Naranbold Nyam-Osor,Mongolia,8,29,0.28
210,195,Lümbengarav Donorovyn,Mongolia,8,35,0.23
211,195,Mohamed Kallon,Sierra Leone,8,40,0.2
212,195,Andy Selva,San Marino,8,73,0.11
213,199,Samuel Akinbinu,Djibouti,7,14,0.5
214,199,Mahdi Houssein Mahabeh,Djibouti,7,26,0.27
215,199,Unaloto Feao,Tonga,7,17,0.41
216,199,Rufino Gama,Timor-Leste,7,22,0.32
217,202,Taylor Saghabi,Cook Islands,6,13,0.46
218,202,James Moga,South Sudan,6,18,0.33
219,202,Ronald Gómez,Aruba,6,22,0.27
220,205,Richard O'Connor,Anguilla,5,5,1.0
221,205,Terrence Rogers,Anguilla,5,16,0.31
222,205,Girdon Connor,Anguilla,5,29,0.17
223,205,Berhane Aregai,Eritrea,5,11,0.45
224,205,Yonas Fesehaye,Eritrea,5,19,0.26
225,205,Yidnekachew Shimangus,Eritrea,5,22,0.23
226,205,Avondale Williams,British Virgin Islands,5,15,0.33
227,205,Roy Chipolina [h],Gibraltar,5,71,0.07
228,205,Liam Walker [i],Gibraltar,5,72,0.07
229,209,Abdullahi Sheikh Mohamed,Somalia,3,6,0.5
230,209,Jamie Browne,U.S. Virgin Islands,3,11,0.27
231,209,J. C. Mack,U.S. Virgin Islands,3,15,0.2
232,209,Ramin Ott,American Samoa,3,15,0.2
